id,label,text
0,1,"Die von dem Leiter im Artikel gebrachten Stichworte lassen allerdings leise Zweifel aufkommen, ob es ihm wirklich um die Wiedergewinnung der demokratischen Meinungsfreiheiten geht.  Da scheint mehr die Definition von inhaltlich ""richtigen"" Meinungen das Thema zu sein."
1,0,Dass Linke und Grüne diese Menschen im Land behalten wollen und damit die hiesige Bevölkerung wissentlich und absichtlich schädigen ist inakzeptabel.
2,0,"mit Bild im Hause – erhoehtes Brandrisiko und wenn Grossvater das Ding in die Haende bekommt ,sinkt die PISA Studie fuer Deutschland … ."
3,0,Gerade ihr heult jetzt rum. Geliefert wie bestellt und wie gewählt. Jetzt müst ihr durch. Es geht jetzt erstmal los
4,0,Also muss ich aufgrund der Angst anders anziehen und auf jegliche Religionsfreiheit uä verzichten wegen dem Faschismus im Osten?
5,1,"In jedem Fall lebten die Araber mit Mordabsicht nur ihre Eigenart aus, die von den Nazis aus verabscheuungswürdiger Gesinnung nicht gelitten wird usw"
6,1,"Wenn der Regierungssprecher nur einen Funken Anstand und Mitgefühl hätte - er verfügt ja wohl nur über ein Übermaß an islamophiler, politischer Korrektheit !!! - , dann hätte er zuerst einmal sein Bedauern, sein Mitempfinden mit den Opfern (und mit deren Angehörigen) durch die gewalttätigen Migranten aussprechen müssen, die ja eine regelrechte Gewaltorgie im Chemnitzer Stadtfest gefeiert"
7,0,"Auch wenn vor allem Afd Anhänger die Realität verdrängen - eine bessere Politik, als Merkel sie macht, ist derzeit aufgrund der sich nach rechts verschiebenden Länderpolitik nicht möglich. Mir ist die Ruhe und die Verlässlichkeit Merkels lieber, als The Trump"
8,1,"Alle Organisationen und Einzelpersonen die Abschiebungen verhindern machen sich schuldig. Entsprechend müssen die Gerichte jetzt tätig werden. Wer Politik zum Schaden des eigenen Volkes betreibt ist ein Vaterlandesverräter und muss vor Gericht. Die Grünen scheinen schon vorzusorgen, ihr Chef bestreitet, dass es ein deutsches Volk überhaupt gibt."
9,0,"Es handelt sich aber um einen Kulturkreis, der innerhalb einiger Monate eine \""Kölner Silvesternacht\"" oder diverse Massaker auf die Beine stellen konnte und der permanent mehr Sonderrechte einfordert, obwohl er schon 10% des Bundeshaushalts einer alternden Republik konsumiert."
10,0,Chemnitz ist unschuldig! Politik und Medien NICHT!
11,0,"Wieder eimal Seehofers 0 Nummer, wie auch nicht anders zu erwarten. Ein totaler Versager.!"
12,0,"Fuer Weicheier ist solche ein Vorfall natuerlich \""harte Realitaet\"""
13,1,"Muslime, die Tiere bei vollem Bewusstsein und ohne jede Betäubung schächten, die Frauen quasi als Haustiere höherer Ordnung (so Dr. Nicolas Fest) halten, sie steinigen, die Christen und Juden, die Atheisten, Agnostiker und Apostaten, die Hindus, Schintoisten, Buddhisten u.a. als sog. \""Ungläubige\"" bezeichnen, die minderwertiger als das Vieh seien, die es zu töten gelte usw., solche Muslime b"
14,0,"Also grob gerechnet 74 000 potenzielle Verbrecher und mit illegalen Grenzübertritt schon mal Straftäter, Asylbetrüger, Lügner, Sozialschmarotzer, Diebe und Leistungserschleicher und damit Betrüger. Das haben sie festgestellt"
15,0,"na prima, also winkt Spanien nun durch ohne zu registrieren"
16,1,"Die SPD macht nur noch Politik für Migranten. Die hier schon länger lebenden sollen arbeiten, zahlen, die Fresse halten und möglichst vor Renteneintritt sterben. Dass diese Partei noch zweistellig ist, haben sie der wohlwollenden Systempresse zu verdanken."
17,0,"Der Rechtsstaat wurde aber außer Kraft gesetzt, denn Richter entscheiden nach dem Willen der Regierung und der Macht. Und: Merkel bricht ohnehin ständig Gesetze ohne belangt zu werden."
18,1,Nur bla bla.... Da passiert nicht wirklich was.... Wir sollten die kriminellen Politiker einsperren
19,0,Die Äußerung steht im Kontext des von den Grünen verfolgten Zieles der Grenzabschaffung und des ungebremsten illegalen Migrantenzustroms
20,1,"Und währenddessen erreicht die Hetze gegen die AfD neue Höhepunkte.  In fast allen Mainstream-Medien wird die AfD jetzt als Partei der „Gaskammerleugner“ diffamiert, etwa vom Haushistoriker Kellerhoff bei WELT Online. Wichtig dabei: Die Wörter „AfD“, „Weidel“, „Gaskammer“ und „KZ“ in einem Satz unterzubringen.  Und der eitle, verlogene Gockel Thomas Strobl faselt von einer B"
21,0,"Wie es wohl der CSU in Bayern schmecken wird, in den kommenden vier Jahren mit den braunen GrünInnen eine Koalition eingehen zu müssen, nur um weiter in Bayern Pöstchen zu ergattern?"
22,1,"Was beginnt nun, ein erneutes Verfahren bei denen wieder Richter*innen an der Realität vorbei urteilen. Wenn dieser Islamist wieder Menschen für den IS anwirbt, was dann? Dann waschen sich diese Richter*innen ihre blutigen Hände in Unschuld."
23,1,"Weltoffenheit ja auf jeden Fall bin selber nur halb deutsch und hab leider nur ausländische Freunde da hier wenig deutsche Leben, der islam jedoch ist in jeglicher seiner unterdrückerischen Formen abzulehnen."
